id,Scientific_name,Common_name,Taxonomic_group,ITIS_TSN,Family,Organism_category,Origin,Origin_detail,Basis_for_listing,GLR_Regulated_locations,Established_in_Great_Lakes_Region,GLR_year,Current_GLR_range,Current_invaded_range,Introduction_pathway,GLR_spread_pathways,Maximum_adult_length,Maximum_adult_size_STANDARD_mm,Salinity_tolerance,Habitat_preference,Habitat_description,Reproduction,Reproduction_strategy,Growth_habit,Life_cycle,Environmental_impact,Socioeconomic_impact,Beneficial_effect,Impact_summary,Impacts_and_possible_interactions,Risk_assessment
1,Arundo donax,giant reed,Plant,41450,Poaceae,"graminoid, shrub, subshrub",Eurasia,n/a,Proposed restriction list in GLR,WI,Yes,n/a,"WI, IL, OH","North America, Africa, Eurasia, South America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",600 cm,6000,"freshwater, brackish","wetland, riparian","wet, drained soil","sexual, asexual","rhizomes, fragmentation","riparian, emergent",perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change        ","outcompetes indigenous communities for resources, alters indigenous vegetative structure/habitat, fire promoter, modifies river hydrology ",USDA
2,Azolla pinnata,mosquito fern,Plant,181820,Azollaceae,forb/herb,"Oceania, Asia, Africa","Australia, Asia, Africa",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,North America,aquarium/garden,"commercial shipping, recreational boating, canal",2.5 cm ,25,freshwater,"lake/pond, river/stream, riparian","quiet, slow moving water, moist soil","sexual, asexual","external pollination, fragmentation",floating leaf,annual,n/a,n/a,n/a,"competition, ecosystem change, nuisance   ",forms dense surface mats which interfere with recreation; decreases oxygen and light levels to indigenous plants,n/a
3,Butomus umbellatus,flowering rush,Plant,38886,Butomaceae,forb/herb,Eurasia,n/a,"Ontario watch list, Regulated in GLR","IL, MN, WI",Yes,1905,"Great Lakes (all), throughout GLR",North America,aquarium/garden,"commercial shipping, recreational boating, canal",150 cm,1600,freshwater,"lake/pond, river/stream, wetland, riparian","wet soil, water up to 2 m deep","sexual, asexual","external pollination, self-pollination, rhizomes, fragmentation",emergent,perennial,moderate,inadequate research,inadequate research,"competition, nuisance   ","forms dense stands that displace indigenous species and interfere with recreation, decreases oxygen and light levels to indigenous plants",MISP
4,Cabomba caroliniana,fanwort,Plant,18408,Cabombaceae,forb/herb,"South America, North America","South America, North America (south and east)","Present, Ontario watch list",ON,Yes,1935,"Great Lakes (Michigan), ON, IL, IN, MI, NY, OH, PA","North America, Asia, South America",aquarium/garden,"commercial shipping, recreational boating, canal",10 m,10000,freshwater,"lake/pond, river/stream",still or slow-moving water,"sexual, asexual","self-pollination, rhizomes, fragmentation","submergent, floating leaf",perennial,moderate,moderate,inadequate research,"competition, habitat alteration, ecosystem change, nuisance   ","forms dense stands that displace indigenous species and interfere with recreation, decreases oxygen and light levels to indigenous plants, disrupts fish habitat and replaces indigenous food sources",MISP
5,Callitriche stagnalis,pond water-starwort,Plant,32062,Plantaginaceae,forb/herb,Europe,n/a,Regulated in GLR,IL,n/a,n/a,n/a,"North America, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal",30 cm,300,freshwater,"lake/pond, river/stream, wetland, riparian","shallow, still or slow-moving water, wet soil","sexual, asexual","self-pollination, fragmentation","submergent, floating leaf",perennial,n/a,n/a,n/a,competition,competes with indigenous communities for resources,n/a
6,Carex acutiformis,"lesser pond sedge, European lake sedge",Plant,39477,Cyperaceae,graminoid,"Eurasia, Africa, Asia","Europe, Africa, Southwest Asia","Present, Ontario watch list",ON,Yes,1951,"Great Lakes (Michigan), ON (Ottawa), IN, MI","North America, Eurasia",commercial shipping,"recreational boating, canal",75 cm,750,freshwater,"lake/pond, river/stream, wetland, riparian","moist soil, most wetland types, margins of rivers, streams, lakes, ponds","sexual, asexual","external pollination, rhizomes, fragmentation",riparian,perennial,moderate,little/no evidence,little/no evidence,"competition, indigenous species decline       ",can form dense stands that displace indigenous species,n/a
7,Caulerpa taxifolia (aquarium/Mediterranean strain),killer algae,Plant,6974,Caulerpaceae,macroalgae,"Oceania, Africa, Asia, North America","Oceania, Africa, Asia, Central America/Caribbean",Proposed restriction list in GLR,WI ,n/a,n/a,n/a,"North America, Eurasia, Oceania",aquarium/garden,"commercial shipping, recreational boating, canal, bait release",5 - 80 cm (primary frond),800,"brackish, marine","lake/pond, river/stream","epibenthic (attaches to most substrates including sand, rock, mud), shallow or deep water","sexual, asexual","rhizomes, fragmentation",submergent,perennial,n/a,n/a,n/a,"competition, ecosystem change, indigenous species decline, nuisance, toxic  ","can form dense stands that displace indigenous species (algal, seagrasses, sessile invertebrate communities) though competition for food and light; toxic to herbivores; reduces indigenous species diversity and fish habitat",n/a
8,Crassula helmsii,"Australian stonecrop, New Zealand pygmy weed",Plant,894364,Crassulaceae,forb/herb,Oceania,"Australia, New Zealand",Regulated in GLR,"IL, MN, WI",n/a,n/a,n/a,"North America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",10 - 130 cm (stem),1300,"freshwater, brackish","lake/pond, river/stream, wetland, riparian","wide range of habitats, terrestrial form: moist soil, most wetland types, margins of rivers, streams, lakes, ponds, aquatic form: can establish in water up to 3 m deep","sexual, asexual","self-pollination, turions, fragmentation","emergent, submergent, free floating, riparian",perennial,high,moderate,little/no evidence,"competition, ecosystem change, indigenous species decline, nuisance   ","can form dense stands that displace indigenous species, reduces biodiversity, decreases water quality/flow; interferes with recreation",USDA
9,Cylindrospermopsis raciborskii,cylindro (cyanobacteria),Plant,203690,Nostocaceae,cyanobacteria,South America,South America,Regulated in GLR,"IL, MI, WI ",Yes,1971,"Great Lakes (Erie),  ON (Constance Lake), MI ",North America,commercial shipping,"recreational boating, canal, bait release",311 um,0.311,freshwater,"lake/pond, river/stream","planktonic: euphotic zone, prefers still or slow-moving water",asexual,fragmentation,"submergent, free floating","annual, perennial (tropical locations)",little/no evidence,moderate,little/no evidence,"habitat alteration, indigenous species decline, nuisance, toxic  ","able to produce toxins that can be deleterious or lethal to invertebrates, fish and mammals; severe impacts to water quality (recreation and drinking water) ",n/a
10,Didymosphenia geminata,"didymo, rock snot (invasive strain)",Plant,591283,Gomphonemataceae,diatom,"North America, Europe, cryptogenic","Western North America, Northern Europe ","Present, Regulated in GLR","IL, IN, MI, MN, WI",Yes,"",unknown,North America,"commercial shipping, recreational boating","canal, bait release",140 um,0.14,freshwater,"lake/pond, river/stream","epilithic and epiphytic, prefers cold, flowing oligotrophic water","sexual, asexual",fragmentation,submergent,n/a,moderate,moderate,little/no evidence,"competition, ecosystem change, indigenous species decline, nuisance   ","can form dense benthic mats that displace indigenous species, reduces biodiversity, alters habitat, decreases water quality/flow; interferes with recreation",n/a
11,Egeria densa,Brazilian waterweed,Plant,38972,Hydrocharitaceae,forb/herb,South America,"Brazil, Argentina, Uruguay",Regulated in GLR,"IL, MN, ON ",Yes,"","Ohio, Illinois and Mississippi River basins, IL, IN, MN, NY","North America, Oceania, Asia, South America, Europe",aquarium/garden,"commercial shipping, recreational boating, canal",500 cm,5000,freshwater,"lake/pond, river/stream","still or slow-moving water up to 7 m deep, tolerates turbidity and low light","sexual, asexual","external pollination, fragmentation",submergent,perennial,n/a,n/a,n/a,"competition, habitat alteration, ecosystem change, nuisance   ","forms dense stands that displace indigenous species, reduces biodiversity, alters habitat and water quality, provides poor fish habitat, interferes with recreation, biofouling",MISP
